Reviewer,Review,Rating,Recommended dishes,sentiment
shikha rao,"It's an experience to relish. One needs to make advance reservations because the place has limited tables. They have options for set menu as well as ala carte. We chose set menu which was a relief because it eliminates the process of collecting preferences from each of the 8 member group.
They venue and minar are definitely beautiful. We requested for the lake facing table but lil did we know that the ac doens't work for that table and it gets hot. Unfortunately the staff was less than helpful in this regard.
We had fancy plate settings and cutlery and they started us off with our 5 course meal.
Shorba 3.5/5
Non veg Starters 4/5
Main course 3.5/5
Biryani 4.5/5
Desserts 3/5
Their menu changes everyday apparently. But overall the experience for my family was great although some of the boomers in the family couldn't digest the pricing 😋",5.0,"Dal Makhni, Mutton Biryani, Kebabs",1
Venkatesh Gadam,"As one can imagine, this place is awesome. Kids and parents loved spending time in quiet and refreshing place. The ambience and the restaurant was great. We could spend hours here.

But..

Food was below average. Varieties more than 10 20 year old and taste was below standard.

All the best, I may come again after a long time if I see positive feedback from others.",2.0,,1
Harjot Kaur,"This place needs a pre booking, so make sure you make a booking on the call. Also, there's an assited parking. Yiu can experience a luxurious meal and the service is just way too good. Lovely place to be with your family and friends.

Do visit this place if you want to get a new experience and time away from your daily routine. You will love the ambiance and atmosphere of the place.

Good food good place and good taste.

Also, the service provided by the property is at its best. Loved the place truely.

Wheelchair accessibility: They have a wheelchair accessibility as well",5.0,"Butter Naan, Dal Makhni, Green Salad, Chicken Tikka Masala",1
Bhonsle Shalu,"Wanted to visit this place since long after the hype, the reviews, the reels and ytvideos. Nothing great. Worst part is they said they would only serve thali and ala carte option was not available. Food is bland without proper flavours. The cost of food is very expensive and it does not justify the food offered. Lake view was nice apart from that didn't enjoy anything about this place.",1.0,,1
Tripti KGolem,"Authentic Hyderabadi taste. Highly recommended to go for dinner if planning for a date or casual party. The only challenge is that they do not allow kids below 12 or 14 for dinner. So if you have little ones joining you, lunch should be your choice. 😊",5.0,"Apricot Pudding, Anokhi Kheer",1
apoorva patnaik,"Except for the ambience and looks, it is an over priced and over rated restaurant. For the amount they are charging(3500+taxes) per person they can serve amazing food, but still chose to serve routine kebabs and curries and biryani and 2 desserts which you can get unlimited at all the buffet places. Service is very slow.",2.0,"Apricot Pudding, Kebabs",1
Santosh,The ambience was fantastic. Food was delicious. Starters were decent. Biryani was aromatic and flavourful. Not ideal for large gatherings but a place to visit for sure.,5.0,,1
Vaibhav Kaushik,"I loved the place, the experience and the staff. However, if you are someone like me who likes spices and a strong flavour in food then you might not enjoy the food much due to it's plain and bland taste. Don't get me wrong, the food might be good for many people like for my Mom n Dad who prefer their food simple and subtle instead of strong flavours, it just wasn't for me.",3.0,Apricot Pudding,1
bala alagarsamy,"Great venue. Went with my colleagues from Hyderabad and on entering they gave us all a necklace of pearls.

Ordered from the set menu and the food was excellent. Waiters were always available for any requests, and service was perfect. Views are also amazing up high in the tower.

Hopefully I'll get a chance to do it again!!",5.0,,1
Anoop Govil,Starting from Resort entrance to entering in Restaurant was a good experience. Ambience was luxurious nd gives royal feeling inside and outside the restaurant. You will have to reserve a table well in advance from there website by paying cover charges of Rs1000/- per person which later will be adjusted in you bill. Staff services could have been better. Food taste was just okay for main course. Veg. Starters were good. Seems they don't have expertise in vegetarian cuisines. Not sure about non veg.,4.0,,1
