Reviewer,Review,Rating,Recommended dishes,sentiment
Gautham Suk,"Food taste is good, but the quantity was huge. Tried all vegetarian items, like palak, mushroom and naan. Fried rice quantity was enough for 2 people easily. Meanwhile curries are served for 1. Don't understand that logic.  Make a note while ordering. Gufaa atmosphere is ok, it's dark and nicely air conditioned. Nothing particular special. No parking space in front, they have Valet Parking although.

Kid-friendliness: Atmosphere in gufaa",3.0,Paneer Butter Masala,1
Gadumur Mahesh,"Ambience is great feeling for first time goers. Food is average taste wise. Murgh Tikka is good with well cooked. Qurbani ka meetha is worst, we left it there. No ice cream in it. Lacha paratha was not at all good, it was thick and not roasted properly inside. Service is good. My friend liked the ambiance and it was memorable experience.",4.0,,1
Charan Shetty,Food was Good. Atmosphere fantastic. Services to customers were good but Waiting Time is an issue. Choices for both Veg and Non Veg is good but a bit on the higher end of pricing majorly due to the Ambience it creates. Overall a Nice Place 👍,4.0,,1
Thanvitha,"Found a fly in green chutney which made us really uncomfortable to eat and service is very bad, dissatisfied by service. Also, bad fishy smell in chinese restaurant which is in the first floor!",3.0,Talwar Kabab,-1
Paprika Zich,"The place still has that old world charm and antique ambience. The food is fresh and served relatively quickly. Service tends to take a while, especially during peak weekends. A great place for an intimate dinner or a large family gathering.",4.0,,1
Abinanthan Ram,I had a great time in this restaurant. Susanta the person was so gentle and nice 👍 service was provided,5.0,Chicken Biryani,1
Rekha,"I've been to this place sometime ago. Quiet and peaceful atmosphere, although located in a busy area, the traffic sound will not bother you.",4.0,,1
Suvendu Bhattacharjee,"A perfect Ice Cream parlour in the town

Have delicious jumbo size chhole bhature also",5.0,,1
Nuzhat Fatima,"First of all the food was good💕💕The ambience is justtttt😍  i loved the place i swear❤️❤️😻  🏽very calming place with a pleasant vibe,A must go  😻also for more reviews like this please follow me on instagram @_notjustamedico",5.0,"Chole Bhature, Extra Bhature, Bulls Eye, Fish Tikka, Tikka, Kebabs, Chicken Biryani, Browave with Ice Cream",1
MUKESH PAL,"""At this restaurant, don't miss out on the flavorful Chole Bhature and indulge in the must-try Titanic ice cream. However, I'd advise skipping the crunchy bread rolls on your initial visit, as they might not stand out from typical bakery offerings. The customer service is outstanding, characterized by quick and friendly staff who always wear a smile. It's an ideal spot for a casual chat, though not the best choice for professional meetings due to the dark ambiance, which, despite not being optimal for formal gatherings, exudes a calm vibe - perfect for introverts. Just be cautious about diabetes, as some dishes may lean towards the sweeter side. Overall, this establishment offers a delightful experience, especially for those looking for a quick, enjoyable meal in a relaxed setting.""",5.0,Chole Bhature,1
