Reviewer,Review,Rating,Recommended dishes,sentiment
Varun Kishore,Never! Never book Verandha (The park) for a party. I Reserved a table a day before on 17th Nov for around 9:30 for my mom and her friends/relatives who are all 55+... Got a call at 9 (30mins before we arrived) from them saying that they won’t be able to honour the reservation because they're completely full and we need to cancel the reservation. The guy on the phone was rude and showed little to no regret. We got no help from them he just said we need to cancel the reservation 30 mins before the party what do you do?  Mind you that this was a family get together and most of our family members live more than 25 - 35 mins away from this hotel so they were already on the way. All the members that were going to attend this party are also senior citizens who are 55+. What would you do in this situation? When your friends and relatives who are that old are put through this trauma. We had to call all of them and cancel the party because of them. Never book this place extremely rude and we don’t care kind of attitude/environment in service business.,1.0,,1
Sreenivasulu Meda,"This was another restaurant in my list. Finally, went for a dinner buffet. The review is for vegetarian buffet. Ambience is good. Customer service is also good. Coming to food, it is just ok. Nothing tasted great. The buffet contains only 2 starters, which is a downside for the price they charge.",3.0,,1
maneendra gudivada,"Unfortunately, my visit was not as enjoyable as I had hoped. The food quality did not meet my expectations. The food was lacked flavor and seemed poorly executed. Additionally, the overall ambiance was not as inviting as I would have liked.",1.0,,-1
Subhranil Das,"Nice experience overall, enjoyed the buffet.
Pros:
1. Ambiance,
2. Food Quality,
3. Staff Behaviour and service
4. Multiple Payment Options
5. Great Architecture
6. Excellent view of Hussain Sagar and Necklace Road Railway Station

Cons:
1. Difficult to Reach from Main Road, location shown in the Google Map isn't accurate, one has to take the nearest by-lane to reach
2. Only one single starter option

Being a premium 5 star hotel, the service and overall experience was good enough, must recommended!",4.0,,1
Vrutika Gandhi,Buffet experience is not up to the mark. Soup and starters are not heated properly. Less options in sbji/gravy and is very oily. All deserts with cinnamon powder tasted so bad..!! Only good part is salad/roasted veggies - perfectly cooked. Overall not recommended. Not much variety which is expected in buffet.,2.0,,1
Vipin Kumar,"By Far the most hygienic place. Each and every thing is well organized by a cool business mind , nice ambience, automatic sanitizer available at the entrance, drinking water , handwash basin, washrooms everything is available for convenience which extremely improves the customer experience...Pricing is really very decent as per the experience you will get there..not just good food...! Overall 5 stars from my side.! 😊⭐⭐⭐⭐⭐",5.0,"Dessert Platters, Margherita Pizza",1
Jay Prakash Nagari James,"Disappointingly Overpriced for Limited Variety

I recently dined at Verandah for their buffet, and I must say that my experience left much to be desired. While the ambiance was pleasant and the service was attentive, I couldn't help but feel let down by the exorbitant price tag attached to the limited spread they offered.

The initial excitement of indulging in an all-you-can-eat feast quickly waned as I surveyed the buffet tables. The selection was astonishingly limited, with only a handful of dishes available in each category. While I understand that quality often trumps quantity, the offerings fell short on both fronts. The appetizers lacked diversity, the main courses were meager, and the dessert section was disappointingly sparse.

What truly added to my disappointment was the pricing. For the steep price I paid, 6k for 2 adults and 1 seven year old kid, I had anticipated a wider variety of gourmet dishes to choose from. Instead, I found myself hesitating to refill my plate, fearing that I might not get my money's worth.

While some of the dishes were undoubtedly well-prepared, they simply couldn't compensate for the lack of options. Additionally, the absence of any unique or standout dishes further highlighted the scarcity of choices. In a culinary landscape where competition is fierce, one would expect a restaurant charging a premium to rise above the ordinary.

Ultimately, I left feeling unsatisfied and somewhat cheated by the experience. While the ambiance and service had their merits, they couldn't overshadow the fact that I had paid a hefty price for what felt like a glorified limited menu. I sincerely hope that the management takes customer feedback seriously and considers revamping their buffet spread to better justify the high cost.

In conclusion, if you're looking for a truly indulgent buffet experience with a wide variety of options, I would recommend exploring other dining establishments like Trident or
Marriott may have potential, but as it stands, the combination of limited variety and exorbitant pricing left me with a sour taste in my mouth.",1.0,,1
Alekh Andole,"A treat to endure at the five star restaurant.

You'll get Italian, continental, what not served professionally and deligent.

Try the buffet. Although it does make you find the stars while you pay the bill it does endure the quality you expect.

All time suggest for in and around Hyderabad.",4.0,,1
Jitendra Kumar Agarwala,"Visited for the special bengali food fest for Poila Baisakh and loved it! Though much on the costlier side, each of the item served was delicious. Undoubtedly the best Bengali food I had in Hyderabad",5.0,,1
Kanchan Sharma,"I have been to this place .. it's just amazing . Excellent service . Can't describe the hospitality given by one of the most efficient staff SAIRAM . He made my whole team feel so special . Every time we sat on the dinning area . He is always there to help us . Staff and food makes our stay more bful.
Kudos to the team and lots of blessings for SAIRAM.",5.0,,1
