"rev_id","rest_id","rev_rating","review_text","is_local_guide","reliability_score","sentiment_score"
11,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","3.0","Not very authentic taste Kolhapuri Masala is almost Punjabi Masala Fish n Mutton was very average Unkept Shabby Ambience and Cleanliness",True,95,"0"
12,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","3.0","Visited this place after seeing rating on Google for Lunch Ordered a Ravas Fish Thali for two of us The preperation of fish items is not as someone will expect it to be Malvani or Konkani style Its far from it Curry in the thali was just pale in taste Chapati was ok Solkadhi ordered was not upto the mark as one would expect it to be Malvani or Konkani Tables and sitting benches were made of polished wood but it was congested sitting Tables width is too short for four persons Name of the restaurant Maharashtra Lunch as suggest to be Maharshtrian is just to deceive",True,210,"-1"
13,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","4.0","Nice place to have Nonvegetarian food options in nerul area If you love malvani dishes then this can be the best option There is huge crowd on weekend you have to wait at waiting area to get your table Overall good experience",True,46,"1"
14,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","5.0","Good food even regional specific dishes are accurate to the point with authentic taste Good polite and helpful staff Might have 1015 min waiting on weekends and moderate 10 min waiting in weekdays Sitting arrangements available for the waiting crowd Moderate on cost Well arranged seatings so not showing up crowded Must try Good to visit with friends and family Can ask to add spicy level up or down as per requirement and request will be honoured",True,201,"1"
15,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","5.0","Amazing dish serves the best seafood and doesn t take much time to cook as well Ambience is good and the waiters are polite and provide us the best taste in terms of non veg food",False,1,"1"
16,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","5.0","It was good dine in experience The food was really good in taste Pls plan for 3040 minutes waiting time",False,50,"1"
17,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","5.0","Always have great experience having lunch and dinner over here i have already visited here a lot of times everytime they have given the same taste and good servicei would surely recommend this place especially for dish and nonveg lover",True,10,"1"
18,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","5.0","My husband and me had been to this amazing place for dinner We had ordered their fish Thali and bheja Thali Both were delicious Although we had to wait in queue for around 30mins with many others the staff managing the people was a bit loud but I believe it would have been a hectic day for him   it was all worth it Since I tried their fish Thali I must say that their Sol kadhi dry prawns fish curry and the whole platter was superb Post this we had once ordered their Chicken biryani at home which was great too So a place surely worth a try if you are a foodie",True,15,"1"
53,"ChIJO6VODr36DDkRijNQzuwyvRE","1.0","Dosa and chutney was tasty but sambar spoil my mood to eat this dosa Worst and untasty sambar I ever eat Not expected from dosa plaza Spring roll are average foodfromthenaka",True,12,"-1"
75,"ChIJO6VODr36DDkRijNQzuwyvRE","3.0","What has happened to the strong brand of Dosa Plaza It has turned into a routine Udupi place And prices have skyrocketed and portion sizes have become smaller I had the Mysore masala uttapam and filter coffee",True,252,"1"
216,"ChIJFWDQpNzD5zsRnLiKyMzHhlc","1.0","both the quality and service of the food are thirdrateThe food was sour and smelled badWest of money",True,6,"0"
19,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","2.0","Today I tried the Surmai Fish Thali at Maharashtra Lunch Home The Fried Surmai was good the curry was average and the baby shrimps were good Vegetable was missing in the Thali The Soul curry was decent it even lacked coriander leaves Ive had better soul curry at other restaurants The rice was saltless and the curry didnt fill that gap either If a cook doesnt get the salt right the meal overall cannot be relished I tasted the Rawas from my friends plate and it was really good The Caramel Custard was delicious Being a goan seafood is my staple diet so I rarely like seafood outside Authentic goan restaurants are an exception Overall Ill rate this place as average For Rs 490 no veggies and average taste Id say price doesnt justify value average",False,10,"1"
20,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","5.0","Excellent food Mutton thali is good The best item i had was butter garlic squid Mutton kheema is also tasty Unfortunately they dont make jowar bhakri",True,270,"1"
21,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","1.0","Parking was not available at the location staff was so rude with us no service was up to the mark food was of poor quality and prices were at peak never recommended for anyone Parking Worst for dine in",True,47,"-1"
22,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","5.0","I think its the only place you can experience malvani food and the bakri is also nice I tried the kolhapuri chicken thali Will surely recommend it",True,18,"1"
23,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","5.0","Best place for sea food lovers  the customer service is amazing the owners were very attentive to customers on all tables The food is economical and really tastes good Parking Valet parking",True,61,"1"
24,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","5.0","It is close to the Nerul railway station They serve authentic Maharashtrian style food There are vegetarian nonvegetarian and sea food options available The food was excellent Weve ordered the following appetisers 1 Paneer tikka 2 Chicken chilly 3 Chicken crispy 4 Masala papad 5 Tandoori prawns We also ordered following items in Main course 1 Singapore rice 2 Paneer tikka 3 Schezwan rice They also serve traditional Maharashtrian vegetarian nonvegetarian and sea food thalis They have a good selection of biryani and Chinese dishes After 8 pm it becomes crowded and you must wait in line for your turn",True,86,"1"
25,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","5.0","We went to Maharashtra lunch home to celebrate my moms birthday We ordered mutton thali chicken thali and veg thali all were tasty   the mutton and chicken were cooked well and the kombdi vada was awesome  Nice food but you have to wait when you visit on Friday and Sunday",True,8,"1"
26,"ChIJldo1y9zD5zsRSa6WQE6mB8I","4.0","I strongly recommend implementing a mandatory policy for all kitchen and serving staff to wear proper head coverings while preparing and serving food This practice would greatly enhance the overall hygiene of the food preparation process and ensure that such incidents are avoided in the future Please understand that my intention in providing this feedback is to assist in maintaining the high standards of your restaurant that we your customers have come to expect and appreciate I believe that addressing this issue will not only improve the dining experience but also reflect positively on your establishments commitment to quality and hygiene",True,193,"1"
27,"ChIJldo1y9zD5zsRSa6WQE6mB8I","4.0","Quick service and very good quality and quantity of Kerala cuisine besides the usual Punjabi and Chinese Dishes Ordered the following Chicken Kottu porotta  45 Avial  35 Malabar porotta  45 Appam  55 Pepper chicken  45 Chicken biryani  35 Payassam  45 Their Onam sadya is supposed to be very good so worth a try",False,281,"1"
28,"ChIJldo1y9zD5zsRSa6WQE6mB8I","5.0","Introduced by my cousin this place has flavour some dishes with the authenticity of a Naadan Kerala home Loved and lapped up the Kappa Biryani The takeaways were also delightful in taste and pricing Way to go",True,59,"1"
29,"ChIJldo1y9zD5zsRSa6WQE6mB8I","4.0","Authentic Kerala food just so delicious",True,5,"1"
30,"ChIJldo1y9zD5zsRSa6WQE6mB8I","4.0","Had being on a  Sunday night for dinner Though crowded we were able to get seat We had duck roast with appam and paratha with chass Roast was well spiced and had excellent taste Malabar paratha and appam  was soft Chass was not spicy nor sourquite a glass full They had a table with papads coconut cooking oilachaappam lime pickleskarkkidaka kitvinegar chips etc for sale Parking has to be done on the road Price is reasonable Service 55 Taste 55 Ambience 55 Hygiene 55 Overall very tasty experience",True,266,"1"
31,"ChIJldo1y9zD5zsRSa6WQE6mB8I","1.0","Very rude staff pathetic service even not having variety of items Food taste is not good  Not deserving half star bad experience",True,14,"-1"
32,"ChIJldo1y9zD5zsRSa6WQE6mB8I","4.0","Very authentic Kerala food at Nerul The best thing about this place is the Kerala Buffalo recipes The Beef kizhi beef roast and beef fry all were so good Beef Kappa biriyani also is something above par People make a lot of online order from here it seems Overall as a beef lover loved going to this place again",True,183,"1"
33,"ChIJldo1y9zD5zsRSa6WQE6mB8I","1.0","This is the worst food experience I had and would never recommend this restaurant to anyone human being Rather the food inspection department should be informed and the place locked out I  ordered a takeaway on 31st Dec 2023  The order was for a Surmai fry Prawns masala and Chiken chetinad  The first thing I enquired was if the fish were fresh and the guy supposedly the owner said it was fresh The charges was Rs900 All items were stale and not palatable Was really wondering how people were dining such food there and also zomato and swiggy orders were being taken Never bothered to call the restaurant to convey the feedback as they are not worth any comments However when I saw similar reviews I thought to register mine also as a caution to others trying the food here",False,4,"-1"
34,"ChIJldo1y9zD5zsRSa6WQE6mB8I","5.0","Kerala style food with appam and parota food quality and taste are best parking is no issue can try chicken chettinad chicken travancore and other kerala speciality on sunday you can have Sadhya thali as well sitting are limited and little congested",True,63,"1"
35,"ChIJldo1y9zD5zsRSa6WQE6mB8I","1.0","My experience with Grace restaurant was one of the worst experience ever encountered I ordered two meals and was shocked to find a hair in the rice Also The presentation and the food doesn t look clean enough When I brought this issue to the attention of the hotel team their response was highly disappointing They not only justified their mistake but also responded in a rude manner Throwing away the food was the only option since the food was not eatable This incident serves as a cautionary tale for anyone considering ordering from this restaurant",False,1,"-1"
74,"ChIJO6VODr36DDkRijNQzuwyvRE","3.0","This place is directly opposite to my college so Ive visited this place for quite a long time Im not sure about Chinese but I must say dosa here is yum I personally love ice cream a lot This place has an item named fruit salad with ice cream This is a must try item",True,12,"1"
125,"ChIJa4ujijjD5zsR32K8MNXPoUc","4.0","Amazing taste and appropriate rate Its really must try place with family and friends This place is worth it Amazing experience",False,3,"1"
36,"ChIJldo1y9zD5zsRSa6WQE6mB8I","1.0","This is my latest experience in Grace restaurant nerulI have been eating here since few years but 31st December 2023 afternoon I felt cheatedI ordered veg meal thaliit was just a regular sadyano payasam no rasam no butter milk no kela chips no other sweetbut a small banana as dessert two vegetables one pink curd  pickle papad sambar and dahi kadibut they charged me 275rs as special sadya wriiten on the bill I have eaten spl sadya and it has so many food itemsI enquired at the bill counter after seeing the bill and the boy at the counter said thats itI told him tell the owner it is not good cheating ppl on the last day of the year this way by charging for what was not servedeven the one who takes order heard me but didnt ask me whats the matterI didnt argue further for i was in no mood for a commotion as I had my mother n sister whom I had taken there for the first time  praising the restaurantbut I told myself this is the last time iam here There were many others eating the  same mealdont know if same was charged to alland if it was then its very bad",False,4,"-1"
37,"ChIJldo1y9zD5zsRSa6WQE6mB8I","1.0","The food tasted great to be honestFew dishes were budget friendly Consthey are Not Customer FriendlyThey behaved pretty Rude with us for their own mistakeespecially the main guysOther staffs were friendly and goodAlso they charge 5 rupees extra for a small sprite bottle",True,175,"1"
38,"ChIJldo1y9zD5zsRSa6WQE6mB8I","4.0","First time visited here And already a fan of this place for perfect south indian dishes Go try out guys ",False,23,"1"
39,"ChIJldo1y9zD5zsRSa6WQE6mB8I","4.0","Nice food must try kerala veg thali Parking Road side parking Kidfriendliness Area is enclosed and road barrier",True,56,"1"
40,"ChIJldo1y9zD5zsRSa6WQE6mB8I","1.0","Food was good but unhygienic There were small stones in the dry vegetable sabzi that was served Chicken fry was totally disgusting as it was uncooked and full of fungus",True,17,"-1"
41,"ChIJldo1y9zD5zsRSa6WQE6mB8I","4.0","I felt inconsistency in the food they served Earlier it was too good But my recent experience was a bit disappointing And I felt their sadhya was a little overpriced",False,1,"-1"
42,"ChIJldo1y9zD5zsRSa6WQE6mB8I","1.0","Food quality is very poor Not many options  I mean breakfast available but tea or coffee not  Fish are not fresh chicken stale Tried twice and came back really disappointed",True,43,"-1"
43,"ChIJldo1y9zD5zsRSa6WQE6mB8I","1.0","Last Sunday myself and my friend went to have lunch He ordered porotta and pothirachi rost Myself ordered for normal  Oonu Kerala veg thali  They converted oonu with  special sadhya All I would like to tell those who plan to go to Grace Restaurant is please dont expect the taste All though they give no importance to serve the tasty food as we expect since it is a keralite restaurant  they charge you four star rates 275 Rs for a veg kerala sadhya was not served as GRACE as they named  their restaurant Also guys please dont expect the parotta to be as soft and fresh made after order it was sticky and rubbery Pothirachi was not as we had earlier for some reason Very very disappointed",False,3,"1"
44,"ChIJldo1y9zD5zsRSa6WQE6mB8I","5.0","This is my favourite restaurant for authentic native food I had kerala cuisine foods in various restaurants across the city but this restaurant tops the table My favourite food would be the meals which is served with 4 different fresh veggies and a pappad Have never faced any health issues eating from here until now Good that you are serving tasty food and hope you keep up the taste and quality",False,4,"1"
45,"ChIJldo1y9zD5zsRSa6WQE6mB8I","5.0","Popular little restaurant in Nerul serving spicy and delicious Kerala cuisine at very reasonable prices They also stock and sell banana chips coconut oil and other typical snacks and ingredients from Kerala Absolute must visit if you are in Nerul Dietary restrictions accommodated",True,165,"1"
46,"ChIJldo1y9zD5zsRSa6WQE6mB8I","1.0","Visited for dinner 14th April 2019 My verdict You cannot get authentic food in a multi cusine restaurant Grace serves Malayalee Tamil Nadu Punjabi and Chinese cusines in a single kitchen You gotta be kidding meKerala Vegetable khorma was a sweet makhanwala gravy Kerala mix veg curry was vegetable kadai veg jalfrezi Chicken Malabar was chicken makhanwala with lots of pepper Curry leaves and coconut oil Payasam had been forgotten to be stirred while reheating and got burnt at the bottom So it had a burnt taste with black flakes floating around Chicken texture was brilliant soft and juicy Paratha was good For authenticity I give a big ZERO Staff management skillset and courteous behaviour needs serious attentionchanges  Overall experience Will not visit again nor will recommend Please stop calling it an authentic restaurant Its best labelled as a commercial customer and region evolved restaurant",False,5,"1"
47,"ChIJldo1y9zD5zsRSa6WQE6mB8I","1.0","Very worst foodThere is no spices and no salt in Fried RiceFull and Fully disappoinment",False,1,"-1"
48,"ChIJldo1y9zD5zsRSa6WQE6mB8I","4.0","Awesome food Good taste 200 Value  for money I tried kerala parotta with paneer kadhai They given ample amount of paneer kadhai for 2 peoples Price is standard mumbai range Paneer kadhai180rs Parotta15rs But I went there after my shift wearing my swiggy delivery boy tshirt and with delivery bag When enter the hotel and kept my bag near table and went to wash my hands during this whole time Their reaction is so terrible  Even after I sat on chair he didnt think i came to eat here He is on great confusion Then I asked for menu card he realised oh swiggy people also having stomach they also come here to eat Overall staff experience was not great But its not their fault Because everyone seeing delivery boy as some nameless creatureso no use of blaming them",True,55,"1"
49,"ChIJldo1y9zD5zsRSa6WQE6mB8I","5.0","What a great Place to experience kerala food Tasty food especially the malabar paratha and chicken was super awesome and they also have good veg options  Feels like eating onam food",True,167,"1"
50,"ChIJldo1y9zD5zsRSa6WQE6mB8I","5.0","This is authentic kerala restaurant in nerul and has been there for long time I first visited here through a friends reference and am happy to say that all the items served here carry the authenticity of Kerala taste not to miss there signature kerala parotta and appan to be eaten with chicken estew the fish preparation is also very good and prices are very reasonable  I will say value for money  I recommend all the food connoisseur who like taste of kerala dishes to visit and try here",True,182,"1"
51,"ChIJO6VODr36DDkRijNQzuwyvRE","4.0","Small restaurant but neat and good maintenance American delight was nice but it can t be eaten by one person As we shared it so felt it good to eat a portion 45 Mexi roll was also good it s like spring roll stuffings this was also in portion so shared t n ate 45 Garlic roast is good 45 Masala pav is good 355 Nothing much to say about ambience just simple There parking is little issue",True,207,"1"
52,"ChIJO6VODr36DDkRijNQzuwyvRE","3.0","Had rawa masala dosa at dosa plaza Dosa was good crispy fresh  buttery  A pinch of salt was missing in rawa batter Also had filter coffee One of the best coffee in navi mumbai i should say  There are lot of varities of dosa I am sure you will enjoy it There are two section Ac  Non Ac Also they have chain all over the world more than 6 countries",True,146,"1"
54,"ChIJO6VODr36DDkRijNQzuwyvRE","4.0","One of the better place for snacks specifically for Dosa Only on basis of experiment and taste of Dosa they deserve 4 stars The taste of various dosa are good They have much more options in their menu But it seems little bit Expensive for bachelors If you like to eat chinenese cuisine then you can try Idli Manchurian Idli was little bit stiff but Gravy was best The taste of Maharaja Delight Dosa is also good You can try it If you want to eat chat then definitely try some another option The quality and taste of chat was not so good I ordered Masala puri and they gave me Sev puri Quality of Milk product like lassi and Butter milk are ok not awesome They can improve it Like Taste of Dosas and its stuffing Variation and Experiment on South Indian dishes Dislike Ambience Chat section Slow service in non pick hours",True,58,"1"
55,"ChIJO6VODr36DDkRijNQzuwyvRE","5.0","This has been our go to place Our kids love this place The cool ambience we appreciate and the staff do their best to make us comfortable Weve tried a lot of items and they are consistently tasty Vegetarian options All veg Parking May be an issue Limited parking Kidfriendliness Very friendly",True,67,"1"
56,"ChIJO6VODr36DDkRijNQzuwyvRE","5.0","This restaurant has the widest menu in dosas I ordered dahi Puri pav bhaji and onion uttapa Every item taste was out of world Its cheap compared to other restaurants Dahi Puri  75 Pav Bhaji  110 Onion Uttapa  70 Extra Pav  12 Do visit once",True,17,"0"
57,"ChIJO6VODr36DDkRijNQzuwyvRE","4.0","Its right across the SIES college gate in Nerul They serve delicious south Indian and as well as punjabi food The filter coffee is a must try after you finish your food Food",True,196,"1"
58,"ChIJO6VODr36DDkRijNQzuwyvRE","3.0","Its a small food joint with adequate seating for few people They have variety of Dosa  Idlis with normal variety as well as lot of fusion dosa n idlis Rice variety is also very good We had normal Triple Shezwan Rice We wanted to have it without AjinoMoto but the cook refused n said it will be there In rice it was not there but in gravy it was there Overall taste was okayish Must stick to Idli n Dosa variety or Paav Bhaaji or south indian rice fare",True,161,"1"
59,"ChIJO6VODr36DDkRijNQzuwyvRE","1.0","Very poor service of the restaurant We waited for more than 45 minutes to receive the order The hotel staff gave preference to online orders and was keep on supplying them When we went and argued for the delay in the time we got all the orders in 5minutes but the quality of food was not at all up to standards Worst service and poor management If you want to eat from this hotel just order from it",True,166,"-1"
60,"ChIJO6VODr36DDkRijNQzuwyvRE","3.0","This place is just just located 13 km from Nerul station opposite to SIES College It is very famous specially for Dosas  It has a limited seating without AC and very basic Interior works done The dosas are Delicious Other food like Paav Bhaaji  Sandwiches is average Service is super quick Cleanliness is highly  maintained The menu has a good variety A great place would love to recommend for munching evening snacks as well as  having a healthy south Indian breakfast Do try  Spring Dosa American choupsey Dosa and folter cofee",True,59,"1"
61,"ChIJO6VODr36DDkRijNQzuwyvRE","4.0","One of the best places to have dosa and fast food I often visit here to have lunch with my friends as it is quite near to my college Quality and quantity at reasonable price I Like going there as their is no restriction you can sit afterwards and enjoy chit chatting with my friends Ambience is small but cute",True,30,"1"
62,"ChIJO6VODr36DDkRijNQzuwyvRE","3.0","Food was good but not up to the mark  Seating arrangements service was good  Advise to try only South Indian food items as Pasta was not tasty at all",True,310,"1"
63,"ChIJO6VODr36DDkRijNQzuwyvRE","3.0","Located at Nerul in between Pritvish  The J This place is a hot spot for students from all the nearby colleges Due to the moderate pricing and quality food you get here theres nothing much to complain about The dosa served here are tasty and crispy plus they do have some amazing filter coffee do try it out Overall35",True,108,"1"
64,"ChIJO6VODr36DDkRijNQzuwyvRE","4.0","You get a variety of dosa In addition you get the routine north indian and south indian dishes Dont miss the filter coffee if you are a coffee enthusiast",True,72,"1"
65,"ChIJO6VODr36DDkRijNQzuwyvRE","2.0","We went on a Saturday evening The place is not so big We wanted a spicy Dosa so as per there recommendation we ordered Mushroom schezwan dosa It was not at all spicy and moreover the taste was also not good Chutney was good but Sambhar was worst",True,67,"-1"
66,"ChIJO6VODr36DDkRijNQzuwyvRE","4.0","Its a decent place if you are decent person Once I saw a persons drive through a Hyundai accent with a strange hariyanwi accent he order dosa with lassi He like the dosa so much he did a bhangra dance Lot of customers were embarrassed because of his dance But dancing at the dosa plaza is a thing apparently if you are someone who doesnt know dancing with the dosa on a plate This is the place to be at",True,31,"-1"
67,"ChIJO6VODr36DDkRijNQzuwyvRE","5.0","To begin with Location  Just infront of SIES  Nerul next to the J  Ambience 45  the place is small in size and a bit conjusted during the evening hours as much crowded  Food 55  Actually one of the best dosa joint in navimumbai The sambhar was bit sweet and an actual South Indian thing  Chutney was thick enough Tried a lot from their menu Favourites  Paneer chilli dosa American chopsey dosa And the special long dosa that covered our whole table good in quantity for 3 people to fill up top to notch Tried the chocolate frappe was well us definitely worth it for the price Go one for the lemonade   Value of money is extremely high",True,57,"1"
68,"ChIJO6VODr36DDkRijNQzuwyvRE","5.0","One of the best place to have South Indian food like dosauttapa They also have fusion dosas All fusion dosas are best In normal dosas their Mysore masala dosa is best Stars for this place",True,44,"1"
69,"ChIJO6VODr36DDkRijNQzuwyvRE","5.0","good quality food and nice palce to dine with family and friends the dosa has a unique twist Fusion of south Indian and Chinese over all great place to eat",True,5,"1"
70,"ChIJO6VODr36DDkRijNQzuwyvRE","3.0","Dosa plaza name itself tells youll be having a variety of dozas in unique combination We tried American cheese dosa And that is totally recommended here Pocket friendly place to have perfect morning breakfast",True,71,"1"
71,"ChIJO6VODr36DDkRijNQzuwyvRE","4.0","Good quality with plenty of choices available for quick bites Only the issue faced here was parking space But overall was a great experience taking breakfast here Food",True,319,"1"
72,"ChIJO6VODr36DDkRijNQzuwyvRE","1.0","Pathetic quality   see the picture what safety and neatness they are following while preparing food   its too unhealthy and risky for health   strictly urge all not to order food from here   otherwise they ll ruin ur health",False,1,"-1"
73,"ChIJO6VODr36DDkRijNQzuwyvRE","5.0","Amazing food always have been ordering frequently So far various menu items tried  very happy so far",True,102,"1"
152,"ChIJR64GZ2bD5zsRUbE2eXKqM1M","5.0","The place is new and petite and the food is tasty as well  very intelligently designed with all the games and alla must visit place near to SIES engg college",True,55,"1"
76,"ChIJ915PderD5zsRTqBPBylUmdM","4.0","I would definitely would have given it 55 if not for the old decor Great fine dine restaurant great food great hospitality definitely try the tandoori chicken and manchow soup and they definitely have a good grasp of a tasty dum Biryani if youre biryani junkie definitely try it",True,29,"1"
77,"ChIJ915PderD5zsRTqBPBylUmdM","5.0","Renowned for its Chinese dishes this restaurant offers a pleasant ambiance and is conveniently located near Nerul station The food not only tastes great but is also beautifully garnished When dining here I highly recommend indulging in any of their Chinese delicacies for an exceptional culinary experience",True,48,"1"
78,"ChIJ915PderD5zsRTqBPBylUmdM","5.0","I recently had the pleasure of dining at new welcome family restaurant with my family and it turned out to be an exceptional experience The restaurant excels in serving the best of Indian Chinese cuisine The food was nothing short of superb with flavors that left a lasting impression What stood out even more was the restaurants familyfriendly atmosphere We had a 6monthold baby with us who needed some attention The staff went above and beyond by not only accommodating our needs but also engaging with the baby making us feel welcome and cared for Their helpfulness and friendliness made the evening truly special new welcome family restaurant isnt just a place to have a meal its a place that understands the value of creating memorable moments Im grateful for the outstanding service and the warm ambiance Its certainly a place Id recommend to others seeking not just great food but also a welcoming environment for their family outings",False,9,"1"
79,"ChIJ915PderD5zsRTqBPBylUmdM","3.0","Place is ok for family starter I tested chicken hot pan is best and chicken baingeni kabab it s ok",True,21,"1"
80,"ChIJ915PderD5zsRTqBPBylUmdM","3.0","This restaurant is famous for Chinese cuisine The ambience is quite good and it is nearby Nerul station The taste of food and garnishing looks good Bets dishes to try will be any Chinese items",True,58,"1"
81,"ChIJ915PderD5zsRTqBPBylUmdM","1.0","Not at all worth Totally disappointed as per the rate and quantity as well as quality We ordered Chi Bhuna which was around Rs 300 quantity was too less and the taste was also like normal Chicken masala Food",False,18,"-1"
82,"ChIJ915PderD5zsRTqBPBylUmdM","1.0","The restaurant is easy to locate has good environment and seating arrangements But the staffs are totally unprofessional n careless First off all the table was soo dirty and the glass was not washed properly Secondly we ordered veg spring roll in which we found a piece of meat When i tried contacting the owner the staff lied saying the owner is not currently in mumbai After talking the staffs finally called the owner and the owner just gave a stupid reason ek chicken ka piece uud ke chala gaya hoga We were soo shocked that how a person who owns such a big restaurant give such reasons I just read reviews abt this restaurant and came to know previously also people found bones n meat in the veg dishes When owner cant take proper care i think they should shut down the restaurant So if you are a pure vegetarian this restaurant is not for u",True,37,"-1"
83,"ChIJ915PderD5zsRTqBPBylUmdM","4.0","Restaurant was easily accessible We had ordered 3 items Veg Manchow Soup  Average Paneer Manchurian  Best Veg Tawa Pulao  Best Service was Best and Ambience was Average",False,6,"1"
84,"ChIJ915PderD5zsRTqBPBylUmdM","4.0","New welcome is one of newly opened  famous restaurant in Nerul west Navi Mumbai area It is famous for its non veg menus I was really impressed with the taste of food Its also famouse for Chinese cuisine Since it is newly opened the ambience is really amazing and prices of food are quite affordable On weekends it can be crowded Restaurant does not provide any parking but you can park your vehicle nearby The place is very close to nerul railway station Must visit",True,172,"1"
85,"ChIJ915PderD5zsRTqBPBylUmdM","5.0","Food quality is superb Worth visiting with family and friends Food qty is also worth spending money on",True,41,"1"
86,"ChIJ915PderD5zsRTqBPBylUmdM","4.0","Overall a good experiencegood food value for money",False,3,"1"
87,"ChIJ915PderD5zsRTqBPBylUmdM","5.0","Food was fresh hot yet properly cooked and it was tastyi loved it Definitely recommend Food",False,3,"1"
88,"ChIJ915PderD5zsRTqBPBylUmdM","5.0","Resto located outside Nerul station Good tastey foodlots of options available under chinese menu I had ordered egg Biryani n the taste was good 5 out of 5  Ambience is nice n clean resto Over all good place",True,90,"1"
89,"ChIJ915PderD5zsRTqBPBylUmdM","5.0","The Food is just Delicious The Service is Amazing The Ambiance is Royal The Price is Affordable Whenever I have gone to this restaurant I have never been disappointed You should definitely visit this restaurant Parking Parking is not available but you can park on the road",True,75,"1"
90,"ChIJ915PderD5zsRTqBPBylUmdM","5.0","After long time i got to eat really tasty   food I will really recommend this place to all AC only chilled ambient pocket friendly rates quantity is less but it is balanced by quality",True,45,"1"
91,"ChIJ915PderD5zsRTqBPBylUmdM","1.0","The food was good and worth a visit but disappointed with the service 3 to 4 times I was reminded of the waiter and order and after almost 30 minutes we received our order",False,3,"-1"
