"rest_id","rest_name","rest_budget","rest_rating","rest_rev_count","address","main_category","categories","rest_location","feature_opinions"
"ChIJ-Z6iOZrD5zsRAa6YskCG3II","Zaitoon The Restaurant",2,"4.2",1012,"Shop No 3  4 Zaitoon The Restaurant Krishna Kamal Coop Hsg Society PL  111E1  111F Nerul East Sector 21 Nerul Navi Mumbai Maharashtra 400706","Mughlai restaurant","{""Mughlai restaurant"",""Chinese restaurant"",""Meal delivery"",""Takeout restaurant"",""North Indian restaurant"",Restaurant}","nerul","{""veg - non"",""soup - tasty"",""quality - good""}"
"ChIJ9dBmPsPD5zsRmTriYneJBPo","Akshay Lunch Home",1,"4.2",624,"unit shop no 13 Akshay Lunch Home service 14 near samaj mandir Sector 9 Nerul Navi Mumbai Maharashtra 400706","North Indian restaurant","{""North Indian restaurant"",""Indian restaurant"",""Maharashtrian Restaurant""}","nerul","{""place - small"",""taste - good"",""staff - friendly""}"
"ChIJ1cbVM8bD5zsRnLFwRuIhuKs","Malwani Bhojan family restaurant",1,"4.1",577,"Shop no 10 Malwani Bhojan family restaurant Ashirwad Apartment Shop no 10F2 type nxt apna sahakari bank opp Bank of Sector 3 Nerul Navi Mumbai Maharashtra 400706","Family restaurant","{""Family restaurant"",Restaurant}","nerul","{""place - good"",""food - good"",""fish - thali""}"
"ChIJJdv7LkvD5zsRMR2PCN-3PtA","Hotel Berde",2,"4.6",61,"Hotel Berde Mata Amritanandamayi Marg near Rajiv Gandhi Bridge Sector 8 Nerul West Nerul Navi Mumbai Maharashtra 400706","Konkani restaurant","{""Konkani restaurant"",""Indian restaurant"",""Non Vegetarian Restaurant"",""Seafood wholesaler"",""Vegetarian restaurant""}","nerul","{""food - delicious"",""test - good"",""nail - unhygienic""}"
"ChIJG39PgFPD5zsRsPI-UkpiTOg","Malang",2,"4.5",50,"Malang Courtyard by Marriott Sector 7 Nerul Navi Mumbai Maharashtra 400706","Restaurant","{Restaurant}","nerul","{""food - Amazing"",""food - worth"",""server - sweet""}"
"ChIJD0izqiHD5zsR15lQQs0X3F0","Fusion Dine In",2,"4.9",31,"Sector No 01 Fusion Dine In Nerul Plaza Building Shop No 14 near LP Bus Stop Nerul Navi Mumbai Maharashtra 400706","Restaurant","{Restaurant}","nerul","{""atmosphere - friendly"",""food - tasty"",""place - Good""}"
"ChIJy6YVc9zD5zsRR3V3jVh17Vo","Food Katta Restaurant",2,"4.0",6,"Food Katta Restaurant 39 Nerul Navi Mumbai Mumbai Maharashtra 400706","Restaurant","{Restaurant}","nerul","{""place - hopeless""}"
"ChIJf_DyderD5zsRWNcl4y5174I","Mammas Kitchen",2,"4.1",488,"Shop no 5 Mammas Kitchen fancy market Nerul East Sector 15 Nerul Navi Mumbai Maharashtra 400706","Chinese restaurant","{""Chinese restaurant"",""Chinese noodle restaurant"",""Mughlai restaurant""}","nerul","{""Prices - Good"",""place - congested"",""ambiance - great""}"
"ChIJgbEGK7zD5zsRZcXWR0i9oBw","Prithika Pure Veg Restaurant",1,"4.0",3218,"Prithika Pure Veg Restaurant Shop No121314  102 Shanti Park Plot NoB 111112 Sector 23 Near Seawoods Rly Station Seawoods Navi Mumbai Maharashtra 400706","Vegetarian restaurant","{""Vegetarian restaurant"",""Breakfast restaurant"",""Chinese restaurant"",""Fast food restaurant"",""Meal delivery"",""South Indian restaurant""}","seawoods","{""veg - pure"",""food - delicious"",""ambience - perfect""}"
"ChIJTy30xhnD5zsRXpsrm3zdwyY","Copper Chimney  North Indian Restaurant In Seawoods Navi Mumbai ",2,"4.6",1982,"Copper Chimney  North Indian Restaurant In Seawoods Navi Mumbai  Railway Station 2nd Floor Seawoods Grand Central Mall Seawoods West Seawoods Navi Mumbai Maharashtra 400706","North Indian restaurant","{""North Indian restaurant""}","seawoods","{""soup - good"",""taste - good"",""food - good""}"
"ChIJ9c7sA5bD5zsR2ocqEyJ1Prc","Punjab Grill Seawoods",2,"4.4",1846,"FB 10 2nd Floor Punjab Grill Seawoods Air Space Railway Station Plot R1 Seawoods Station Rd Nerul East Sector 40 Seawoods Navi Mumbai Maharashtra 400706","Punjabi restaurant","{""Punjabi restaurant"",Grill,""Fine dining restaurant"",""North Eastern Indian restaurant"",Restaurant}","seawoods","{""desert - More"",""levels - high"",""food - amazing""}"
"ChIJgRKpdpjD5zsRB-2v_1Y5TCQ","Ratnakokan",1,"4.2",1735,"Shop No 1 Ratnakokan Merchant Classic Building Plot No 3 48A Krishna Changa Naik Marg Sector 48A Seawoods Navi Mumbai Mumbai Maharashtra 400706","Restaurant","{Restaurant}","seawoods","{""malvani - authentic"",""place - yummy"",""atmosphere - warm""}"
"ChIJu5r-qL3D5zsR7yONunL4ltU","B Bhagat Tarachand Seawoods Grand Central Mall",1,"4.0",1462,"B Bhagat Tarachand Seawoods Grand Central Mall Unit noS39 2nd Floor Food Court Seawoods Grand Central Mall Seawoods Navi Mumbai Maharashtra 400706","North Indian restaurant","{""North Indian restaurant"",""Family restaurant"",""Vegetarian restaurant""}","seawoods","{""brand - good"",""service - such"",""service - pathetic""}"
"ChIJGyGSsjjD5zsRFb3BDIE7kXk","Taco Bell",1,"4.0",1325,"Taco Bell Seawood Grand Central Mall FB 13 2nd Floor Sector 40 Node Nerul Seawood Railway Station Navi Mumbai Maharashtra 400706","Mexican restaurant","{""Mexican restaurant"",""Fast food restaurant""}","seawoods","{""tacos - tasty"",""ambience - good"",""taste - Indian""}"
"ChIJy9TK2lXD5zsRxFGzyLvOqZw","Squee  Spoon",1,"4.1",564,"Shop no 78910 Squee  Spoon SukhKarta CHS plot4 near nexus Seawoods West Sector 40 Seawoods Navi Mumbai Maharashtra 400706","Restaurant","{Restaurant}","seawoods","{""dining - memorable"",""ambience - amazing"",""ambience - exquisite""}"
"ChIJfxX_zeHD5zsRZ_AvXHZNewc","UNA Cafe",1,"4.3",318,"Shop No1 Plot No8 UNA Cafe Akash CHS 9 Seawoods West Sector 42 Seawoods Navi Mumbai Maharashtra 400706","Restaurant","{Restaurant}","seawoods","{""taste - good"",""basil - Blue"",""sauce - good""}"
"ChIJc5nEmr3D5zsR6IZ6uMbQxmE","Jugheads",2,"4.0",2030,"Jugheads 1 Seawoods Station Rd Nerul East Sector 40 Nerul Navi Mumbai Maharashtra 400706","Restaurant","{Restaurant}","seawoods","{""service - good"",""staff - friendly"",""food - good""}"
"ChIJOVxAl77D5zsRv93g3bfcRt8","Northern Tadka",1,"4.2",1983,"2nd floor Unit no5456 Plot no R1 Northern Tadka Nexus Seawoods Sec40 Navi Mumbai Maharashtra 400706","North Indian restaurant","{""North Indian restaurant""}","seawoods","{""ambience - good"",""quantity - good"",""quality - good""}"
"ChIJhU0SNRDD5zsRU5wmRuHGdsQ","Indiana Waters",1,"4.1",1942,"Indiana Waters Grand Central Mall 2nd Floor Near Food Court Seawoods Seawoods Station Rd Nerul East Sector 40 Nerul Navi Mumbai Maharashtra 400706","Indian restaurant","{""Indian restaurant"",Bar,""Buffet restaurant"",""Chinese restaurant"",""Continental restaurant""}","seawoods","{""food - tasty"",""staff - attentive"",""ambiance - excellent""}"
"ChIJo_BvB73D5zsRubBLF2f9-R8","Chinese Chow  Momos Noodles Asian",1,"4.2",894,"Chinese Chow  Momos Noodles Asian Shop No42 Nexus SeawoodsSecond Floor Food Court Plot R1 Seawoods Station Rd Sector 40 Nerul Navi Mumbai Maharashtra 400706","Chinese restaurant","{""Chinese restaurant"",""Burmese restaurant"",""Thai restaurant""}","seawoods","{""suggestions - helpful"",""quality - good"",""day - fast""}"
"ChIJH2QksxrD5zsRcJJsmCXhR3U","Cafe Crew",2,"4.3",474,"Shop No 13 Plot no 41 Cafe Crew Shree Ambika Niwas Landmark LT Grand central mall Seawoods West Sector 42 Seawoods Navi Mumbai Maharashtra 400706","Fast food restaurant","{""Fast food restaurant"",Cafe}","seawoods","{""ambience - basic"",""food - amazing"",""food - good""}"
"ChIJcSP9gg_D5zsRxL9pqq4VQTk","Aromas Cafe  Bistro",2,"4.0",313,"Aromas Cafe  Bistro Seawoods Grand Central Plot No R1 second floor Sector 40 Seawoods Navi Mumbai Maharashtra 400706","Cafe","{Cafe,Restaurant}","seawoods","{""staff - good"",""service - slow"",""food - good""}"
"ChIJC0hBrTLD5zsR9nNp-_2Ozew","Global Kitchen",2,"4.6",214,"Global Kitchen Shop no7Shree VighnaharthaCHS Ltd Plot No36 37 Sector 50old Seawoods Nerul Navi Mumbai Maharashtra 400706","North Indian restaurant","{""North Indian restaurant""}","seawoods","{""taste - good"",""food - good"",""food - long""}"
"ChIJFVVVVaDD5zsRZzQ08riJQC4","Chinese Treat Seawood",2,"4.2",211,"Chinese Treat Seawood Shop No 1 Bhavani Apartment Sector 44 Seawoods Navi Mumbai Maharashtra 400706","Fast food restaurant","{""Fast food restaurant""}","seawoods","{""Food - delicious"",""food - greatyou"",""tests - greatyou""}"
"ChIJYe9n96nD5zsRTpUHLUR1AGg","Taste And See Restaurant KTM Momos",2,"4.2",174,"Taste And See Restaurant KTM Momos Shop Number 3 4 Plot Number 3842 Sector 50 Old Seawoods Navi Mumbai Maharashtra 400706","Chinese restaurant","{""Chinese restaurant""}","seawoods","{""place - compact"",""place - Chinese"",""food - tasty""}"
"ChIJfQVG7onD5zsR3sEzuzxQoKw","Mangalam Cloud Kitchen Seawoods",2,"4.7",13,"Plot no 7 Mangalam Cloud Kitchen Seawoods Railway station Laxmi Tower Shop No6 opp Seawoods Seawoods West Sector 42 Navi Mumbai Maharashtra 400706","Indian restaurant","{""Indian restaurant""}","seawoods","{""ambence - nice"",""food - good"",""views - good""}"
"ChIJt94U05jD5zsRi8i7HUVNHgY","Navaratna Veg Restaurant",1,"4.1",8670,"Navaratna Veg Restaurant Zenith Tower Plot No 3D Sector 46 A Seawoods Navi Mumbai Maharashtra 400706","Vegetarian restaurant","{""Vegetarian restaurant"",""Breakfast restaurant"",""Chinese restaurant"",""Fast food restaurant"",""Indian restaurant"",""Punjabi restaurant"",""South Indian restaurant""}","seawoods","{""plenty - Reasonable"",""breakfast - Fresh"",""chai - great""}"
"ChIJ8RBhB73D5zsRb_Nzl7th5lg","Malgudi Nexus Seawoods Mall",1,"4.1",548,"Malgudi Nexus Seawoods Mall Shop No 41 Second Floor Food Court Seawoods Grand Central Mall Seawoods Station Rd Sector 40 Nerul Navi Mumbai Maharashtra 400706","South Indian restaurant","{""South Indian restaurant"",""Fast food restaurant""}","seawoods","{""quality - poor"",""dosa - okay"",""time - best""}"
"ChIJFWMJrOXB5zsRxn-Hgrpb3Zg","Village 1220 Restaurant",1,"4.1",3597,"Plot 1 Village 1220 Restaurant Shop 1925 Manomay Cooperative Housing Society Sector 35D Kharghar Navi Mumbai Maharashtra 410210","Vegetarian restaurant","{""Vegetarian restaurant"",""Chinese restaurant""}","kharghar","{""quality - good"",""part - delicious"",""part - Real""}"
"ChIJ8_-iMFrD5zsR9QHd6nv0Kow","Maharashtra Lunch Home Kharghar",1,"4.3",3416,"Maharashtra Lunch Home Kharghar Gyaneshwari Building Shop no 222324 Plot no B2B Sector 12 Kharghar Navi Mumbai Maharashtra 410210","Seafood restaurant","{""Seafood restaurant""}","kharghar","{""ambience - good"",""watering - thali"",""spices - tasteful""}"
"ChIJWVcF2EPC5zsRB_3sXJjZdis","Veg Planet",1,"4.0",1819,"Veg Planet 17 Shree Ambika Heritage Plot No1 Sector 1 Kharghar Next to Kharghar railway station Navi Mumbai Maharashtra 410210","Vegetarian restaurant","{""Vegetarian restaurant"",""Banquet hall""}","kharghar","{""parking - ample"",""Food - average"",""paneer - overall""}"
"ChIJ4YrW5cbD5zsRNTh8qrGyMJo","Grace Restaurant Kharghar",2,"4.2",764,"Shop No 15 Grace Restaurant Kharghar GOODWILL PARADISE Plot 24 near Dmart Gharkul Sector 15 Kharghar Navi Mumbai Maharashtra 410210","Restaurant","{Restaurant}","kharghar","{""taste - good"",""mouth - authentic"",""place - hygienic""}"
"ChIJ7bXVQRrC5zsRR1isGjvIf74","Anukul Restaurant",1,"4.1",566,"Shop No21 2nd floor Plot No18 2nd Floor Anukul Restaurant Siddhivinayak Residency Near Shilp Chowk Rd Sector 20 Kharghar Navi Mumbai Maharashtra 410210","North Indian restaurant","{""North Indian restaurant"",""Chinese restaurant"",""Family restaurant"",Restaurant,""Vegetarian restaurant""}","kharghar","{""veg - pure"",""veg - spacious"",""advance - humble""}"
"ChIJtWFrOLzD5zsRaxpDmXLfGIc","Dadi Ka Khazana",2,"4.4",217,"Shop No2 Plot Number 15 Dadi Ka Khazana in front of Shree Kailash Hardware Block G Sector 12 Kharghar Navi Mumbai Maharashtra 410210","Restaurant","{Restaurant,""North Indian restaurant""}","kharghar","{""food - good"",""road - narrow"",""lot - perfect""}"
"ChIJ549f2wLD5zsRQ_HvmRTUclE","Zaika Point Kharghar",2,"4.7",31,"SHOP NO 10 Zaika Point Kharghar WING B PLOT NO 6  10 Sector 7 Kharghar Navi Mumbai Maharashtra 410210","Mughlai restaurant","{""Mughlai restaurant""}","kharghar","{""hotel - good"",""soo - affordable"",""taples - Best""}"
"ChIJX4y7iBjC5zsRXA42ql0OgFI","Tawa Multicuisine Restaurant",1,"3.8",4440,"No 37  38 Tawa Multicuisine Restaurant Hariom Heritage opposite Kesar Harmony Sector 21 Kharghar Navi Mumbai Maharashtra 410210","North Indian restaurant","{""North Indian restaurant"",""Chicken restaurant"",""Vegetarian restaurant""}","kharghar","{""Food - good"",""ambience - good"",""waste - eatable""}"
"ChIJ9XSNrj_C5zsRRM7oLPfVSKw","Pranaam Fine Dine  Banquets",1,"4.0",4293,"Shop 2324 plot noB2BA Pranaam Fine Dine  Banquets 24c Utsav Chowk  CISF Rd Sector 12 Kharghar Navi Mumbai Maharashtra 410210","Restaurant","{Restaurant,""Banquet hall"",""Chinese restaurant"",""Fine dining restaurant"",""Indian restaurant""}","kharghar","{""restaurant - good"",""taste - good"",""dining - fine""}"
"ChIJA9RDVOTB5zsRMkuCyxL_-yc","Baugban Restaurant",1,"4.1",3623,"Baugban Restaurant Geetanjali Heights Plot No5 5 a Sector 34C Kharghar Navi Mumbai Maharashtra 410210","Mughlai restaurant","{""Mughlai restaurant"",""Chinese restaurant"",""Fast food restaurant"",""Indian restaurant""}","kharghar","{""taste - good"",""veg - non"",""ambience - picturesque""}"
"ChIJ8acgvb7D5zsRHlvMib9S0Oc","Royal Rasoi",1,"4.0",2053,"Royal Rasoi Vighnaharta CHS Ground Floor Plot No 10 Sector 2 Kharghar Navi Mumbai Maharashtra 400210","Kerala restaurant","{""Kerala restaurant"",""Buffet restaurant"",""Mughlai restaurant"",""South Indian restaurant"",""Vegetarian restaurant""}","kharghar","{""taste - good"",""food - good"",""quality - good""}"
"ChIJI7dndm7D5zsRpCYcfcrcI9s","JJs Rasoi",2,"3.9",800,"Shop 1 Plot A JJs Rasoi 24 E Satara Cooperative Housing Society Utsav Chowk  CISF Rd Sector 12 Kharghar Navi Mumbai Maharashtra 410210","Restaurant","{Restaurant}","kharghar","{""Food - good"",""service - good"",""90s - good""}"
"ChIJsyySTG_D5zsRP7qZ3A_vGhk","Achija veg restaurant",1,"4.2",742,"Achija veg restaurant Sector 7 Kharghar Navi Mumbai Maharashtra 410210","Vegetarian restaurant","{""Vegetarian restaurant""}","kharghar","{""veg - non"",""curries - great"",""curries - Same""}"
"ChIJPVQVbBrC5zsRCB7f83rmfXw","Cochin Ark Restaurant",0,"4.0",729,"Shop No 5 Plot No 17 Cochin Ark Restaurant Vinayak Residency Sec No 13 Block G Sector 12 Kharghar Navi Mumbai Maharashtra 410210","Restaurant","{Restaurant,""Chettinad restaurant"",""Kerala restaurant"",""South Indian restaurant""}","kharghar","{""kitchen - open"",""attention - great"",""food - flavorful""}"
"ChIJIcfzFBzC5zsRc3kQWFwuRNM","Daawat Restaurant",1,"4.1",364,"shop no 18 Daawat Restaurant plot no 50 SEAWOOD HERITAGE opposite yerla medical college chs Sector 4 Kharghar Navi Mumbai Maharashtra 410210","Restaurant","{Restaurant,""Chinese restaurant"",""Fast food restaurant"",""Indian restaurant"",""Non Vegetarian Restaurant"",""North Indian restaurant"",""Punjabi restaurant""}","kharghar","{""food - good"",""Packaging - bad"",""customer - Sad""}"
"ChIJBSH-4NLD5zsRQlc8Gwdw4Ws","Hotel Konkan Goa Kharghar  Sea food restaurants in Kharghar",2,"4.6",119,"Hotel Konkan Goa Kharghar  Sea food restaurants in Kharghar Shop No 6 Sheltor Impire  Plot No 205 opp Hiranandani Highway Sector 10 Kharghar Navi Mumbai Maharashtra 410210","Seafood restaurant","{""Seafood restaurant""}","kharghar","{""experience - good"",""service - good"",""staff - nice""}"
"ChIJv4_7_wTD5zsRLtx0RE22OqI","Highway Break",2,"4.1",8529,"Highway Break Satyam Heritage CHS Sector 10 Kharghar Navi Mumbai Maharashtra 410210","Indian restaurant","{""Indian restaurant"",""Chinese restaurant"",""Halal restaurant"",Restaurant,""Seafood restaurant""}","kharghar","{""food - delicious"",""average - average"",""food - good""}"
"ChIJkZunBz7C5zsRKPQHRbvWn1w","Shivs Veg  Proud",1,"4.0",4212,"Shivs Veg  Proud near Shop No  1 Ground Floor Good Will Infinity Building Prime Mall Ln Sector 12 Kharghar Navi Mumbai Maharashtra 410210","Vegetarian restaurant","{""Vegetarian restaurant"",""Fast food restaurant""}","kharghar","{""service - quick"",""Food - good"",""veg - pure""}"
"ChIJOXSULBXC5zsRXZrI23hCJg4","Chi Na Chi Ni",2,"4.2",676,"Chi Na Chi Ni royal tulip 26 b1st floor Sector 7 Kharghar Navi Mumbai Maharashtra 410210","PanAsian restaurant","{""PanAsian restaurant"",""Asian fusion restaurant"",""Asian restaurant"",""Chinese restaurant"",""Chinese takeaway"",Diner,""Dumpling restaurant"",Restaurant,""Soup restaurant"",""Sushi restaurant""}","kharghar","{""food - great"",""dining - great"",""food - special""}"
"ChIJtW2KrW7D5zsRoWM5gqShzi8","Singh Saab Fine Dine and Banquets",2,"3.7",2844,"plot no9 Singh Saab Fine Dine and Banquets TOWERB Shop no6  7 Sector 6 Kharghar Navi Mumbai Maharashtra 410210","Punjabi restaurant","{""Punjabi restaurant"",""Banquet hall"",""Indian restaurant"",""North Indian restaurant"",Restaurant,""Seafood restaurant""}","kharghar","{""veg - non"",""taste - good"",""ambience - good""}"
"ChIJJ5BHPZHB5zsRE56iubobPzI","Sukhad Home Pure Veg MultiCuisine Restaurant",1,"4.1",196,"Shop No 18 Sukhad Home Pure Veg MultiCuisine Restaurant Bhairav Goldcrest Plot No 07 Sector 11 Ghansoli Navi Mumbai Maharashtra 400701","Indian restaurant","{""Indian restaurant""}","ghansoli","{""food - good"",""veg - Pure"",""Food - oily""}"
"ChIJq1qj5gfB5zsR3ldMVlpvUqw","Mr Petu",2,"4.4",49,"Shop No 2 Mr Petu Ayodhya CoOp Housing Society Ltd Plot No 10 Sector 5 Sector 4 Ghansoli Navi Mumbai Maharashtra 400701","Chinese restaurant","{""Chinese restaurant""}","ghansoli","{""food - delicious"",""crowd - present"",""stall - near""}"
"ChIJf0mozUDB5zsRAMR-gfC8GnA","Food Life Family Restaurant",2,"5.0",4,"Shop No 9 Food Life Family Restaurant 10 Sector 5 Savoli Ghansoli Navi Mumbai Maharashtra 400701","Restaurant","{Restaurant}","ghansoli","{""food - excellent""}"
"ChIJ9csyIMbA5zsRTRV9bLAWG3k","MidLand Restaurant And Bar",1,"4.1",1255,"MidLand Restaurant And Bar Railway Station 1534 Manoshi Complex Plot No 5  6 West opposite Ghansoli Sector 3 Ghansoli Navi Mumbai Maharashtra 400701","Indian restaurant","{""Indian restaurant"",Bar,""Family restaurant""}","ghansoli","{""service - good"",""ambience - delicious"",""quality - delicious""}"
"ChIJe3oA4-nA5zsRuIs3kDC_xfY","White Violet",2,"4.0",563,"White Violet Majestic Court Sarovar Portico Shil Phata  Mahape Rd Reliance Corporate Park MIDC Industrial Area Ghansoli Navi Mumbai Maharashtra 400701","Buffet restaurant","{""Buffet restaurant"",Bar}","ghansoli","{""food - good"",""hotel - Nice"",""Chicken - great""}"
"ChIJob7667LA5zsRP_ph_8Kqmgc","Shree Manu Sagar Family Restaurant",2,"4.0",408,"Shop 5  6 Shree Manu Sagar Family Restaurant Siddhivinayak Appartment Sector 21 Dr Nanasaheb Dharmadhikari Marg Talvali Ghansoli Navi Mumbai Maharashtra 400701","Family restaurant","{""Family restaurant"",""Chinese restaurant"",""Non Vegetarian Restaurant""}","ghansoli","{""food - good"",""place - more"",""tym - more""}"
"ChIJ19jqWJq_5zsRQZAo8SaAgZ0","Aadish family restaurant",2,"4.3",396,"Shop no123 Aadish family restaurant Neelkanth heights near Niru CNG Pump Sector 8 Jijamata Nagar Ghansoli Navi Mumbai Maharashtra 400701","Family restaurant","{""Family restaurant""}","ghansoli","{""restaurant - nice"",""taste - pathetic"",""charges - high""}"
"ChIJM97ckTPB5zsR8iOlTC51rRY","Shetkari Dhaba",2,"4.2",146,"Shetkari Dhaba Surya Kiran Sector 5 Savali Ghansoli Navi Mumbai Maharashtra 400701","Restaurant","{Restaurant}","ghansoli","{""place - awesome"",""test - Great"",""chicken - old""}"
"ChIJP-fUwcXA5zsRa3_bBt-uueE","Hotel Zam Zam",2,"4.1",93,"Shop No16 Hotel Zam Zam sai Vihar Chs Ltd Sector 1 Savoli Sector 2 Ghansoli Navi Mumbai Maharashtra 400701","South Indian restaurant","{""South Indian restaurant"",Restaurant}","ghansoli","{""r - good"",""chicken - good"",""food - good""}"
"ChIJ-1F_jm3B5zsRlKePYMIMel8","Aswad NonVeg Restaurant Ghansoli",2,"4.5",80,"Aswad NonVeg Restaurant Ghansoli Ghansoli Hari Complex CoOperative Housing Society Shop No 10 Plot No 20 Sector 7 near DMart Ghansoli Ghansoli Navi Mumbai Maharashtra 400701","Restaurant","{Restaurant}","ghansoli","{""veg - tasty"",""veg - non"",""nonveg - delicious""}"
"ChIJk6ULw8DB5zsR3357fLOvrkE","Hotel Green Land",2,"4.4",64,"42736CF Hotel Green Land Ashpura cha road Savoli Sector 1 Ghansoli Navi Mumbai Maharashtra 400701","Restaurant","{Restaurant,""Family restaurant""}","ghansoli","{""Food - Affordable"",""food - Good"",""taste - average""}"
"ChIJ948Gi7bA5zsR3cEOqmjGjwk","Food Gravity",2,"4.0",34,"Food Gravity Arihant riddhi siddhi CHS shop no4 PN 2425 sector 7 Ghansoli Navi Mumbai Maharashtra 400701","Pizza restaurant","{""Pizza restaurant"",""Logistics service""}","ghansoli","{""society - good"",""terrace - cooperative"",""parking - Nice""}"
"ChIJ5W795uTB5zsRQqfxVtzaDyg","Biryani Spot",2,"4.3",28,"Biryani Spot shree manoshi complexshop no21 Satation Raod near Burger king Sector 3 Ghansoli Navi Mumbai Maharashtra 400701","Restaurant","{Restaurant}","ghansoli","{""ghatiya - pura"",""lag - ghanta"",""biryani - delightful""}"
"ChIJzXrlvuDB5zsRZKn0YhmRMns","The Food Factory",2,"4.2",11,"Shop 02 The Food Factory Parth Enclave Plot 88 Sector 21 Ghansoli Navi Mumbai Maharashtra 400701","Restaurant","{Restaurant}","ghansoli","{""item - delicious"",""misal - Nice"",""food - Nice""}"
