Reviewer,Review,Rating,Recommended dishes,sentiment
Nataraj Mani,"Probably one of the worst restaurants in Hyderabad. Food was at best edible, service was incredibly slow, and the prices exorbitantly high. Please avoid.",2.0,,1
Venkat Amith Dasari,"Great , pleasant pool side experience. Food was good with limited options . Atmosphere and ambience were top notch",4.0,,1
Sachin William,The food spread is good. Although some of the dishes were mediocre. The service was a  bit slow.,4.0,,1
S M,"Was there for coffee over the weekend. While the ambience and food was great, the servers seemed grumpy and moody with no smile on their face or a welcoming personality which was not a good experience. They need to have better and pleasant customer service and attitude",1.0,,1
Sai Nikitha,"Buffet lacked variety, and the flavors were just average – not a standout dining experience.",3.0,,0
Abishek Surendran,"Very poor service, food taste is also below average. Pizza was served will full of broccoli as toppings",1.0,,-1
Ashwas Priyadarshan,"Delightful place, good food, great tea, and average service. Do try their pastries and quiche. Service could have been better",4.0,,1
Rukhsar Ahmed,"We went here for our anniversary dinner. The ambience was amazing as we got a table in the lawn area . Too soothing and peaceful.
The desserts were very scrumptious and personally me being a dessert lover, i couldn't get enough of it.
The food was a bit disappointing compared to the pricing and hype. Very little to choose from when there are numerous dishes served at other buffets. They should've included foods from different cuisines too.",3.0,,1
BHANU THEJA TENNETI,"Ambience is excellent....spent a beautiful evening...
Taste of veg food is really good..
Enjoyed new variety of dishes
Cherished n relished the moments...",5.0,,1
INTRO MUSIC,Great buffet spreads during lunch. Lots of variety to choose from. Particularly liked the dips and the hummus in the salad section. Pita breads weren't as good though. Pastas have to be made less saucy. But what really supercedes all this is the dessert section! They have outdone themselves in Indian and western desserts. The staff is very helpful too,5.0,,1
