Rajasthani restaurant
Ramen restaurant
Raw food restaurant
Restaurant
Rice restaurant
Roman restaurant
Romanian restaurant
Russian restaurant
Ryotei restaurant
Salvadoran restaurant
Sardinian restaurant
Satay restaurant
Scandinavian restaurant
Scottish restaurant
Seafood donburi restaurant
Seafood restaurant
Seblak restaurant
Self service restaurant
Serbian restaurant
Seychelles restaurant
Sfiha restaurant
Shabu-shabu restaurant
Shandong restaurant
Shanghainese restaurant
Shawarma restaurant
Sichuan restaurant
Sicilian restaurant
Singaporean restaurant
Small plates restaurant
Soondae restaurant
Soto ayam restaurant
Soto restaurant
Soul food restaurant
Soup restaurant
South African restaurant
South American restaurant
South Asian restaurant
South Indian restaurant
South Sulawesi restaurant
Southeast Asian restaurant
Southern Italian restaurant
Southwest France restaurant
Spanish restaurant
Sri Lankan restaurant
Steamboat restaurant
Sukiyaki and Shabu Shabu restaurant
Sukiyaki restaurant
Sundae restaurant
Sundanese restaurant
Suppon restaurant
Surinamese restaurant
Sushi restaurant
Swabian restaurant
Swedish restaurant
Swiss restaurant
Syokudo and Teishoku restaurant
Syrian restaurant
Tabascan restaurant
Tacaca restaurant
Taco restaurant
Taiwanese restaurant
Takeout restaurant
Takoyaki restaurant
Tapas restaurant
Tegal restaurant
Temaki restaurant
Tempura donburi restaurant
Tempura restaurant
Teppanyaki restaurant
Tex-Mex restaurant
Thai restaurant
Thuringian restaurant
Tibetan restaurant
Toast restaurant
Tofu restaurant
Tongue restaurant
Tonkatsu restaurant
Traditional American restaurant
Traditional restaurant
Tunisian restaurant
Turkish restaurant
Turkmen restaurant
Tuscan restaurant
Udon noodle restaurant
Ukrainian restaurant
Unagi restaurant
Uruguayan restaurant
Uyghur cuisine restaurant
Uzbeki restaurant
Valencian restaurant
Vegan restaurant
Vegetarian restaurant
Venetian restaurant
Venezuelan restaurant
Vietnamese restaurant
Welsh restaurant
West African restaurant
Western restaurant
Wok restaurant
Yakiniku restaurant
Yakisoba Restaurant
Yakitori restaurant
Yemeni restaurant
Yucatan restaurant
Zhejiang restaurant
